SEQ	ICAMENTO	MOV.CONTAINER	DESC.CONTAINER	RET.VAZIO	DESCE.GUIND
1	15	7	30	15	30
2	7	5	13	NA	NA
3	12	13	27	8	11
4	7	16	8	8	14
5	6	8	10	11	9
6	12	7	37	40	19
7	8	14	28	15	NA
8	14	12	33	17	13
9	13	9	24	NA	NA
10	34	46	45	NA	NA
11	37	12	23	16	21
12	18	16	18	11	24
13	9	6	14	11	11
14	8	12	38	18	26
15	10	12	14	18	8
16	6	13	40	15	30
17	10	12	39	37	16
18	22	13	11	15	25
19	16	11	13	17	22
20	19	NA	NA	NA	NA
21	10	14	29	25	24
22	8	16	34	14	28
23	12	16	11	21	39
24	14	15	22	16	22
25	30	13	32	18	26
26	10	14	23	44	20
27	36	15	42	20	58
28	8	15	10	24	23
29	11	17	25	16	25
30	8	6	30	38	32
31	8	6	NA	NA	NA
32	11	14	9	22	38
33	13	12	14	20	19
34	13	13	24	24	25
35	18	14	19	27	35
36	25	28	48	33	12
37	9	11	17	12	34
38	8	14	34	14	24
39	10	11	15	26	32
40	7	11	36	20	14
41	8	11	19	23	45
42	13	12	20	21	31
43	21	14	47	26	36
44	6	8	34	20	40
45	13	12	12	27	30
46	17	9	31	21	30
47	20	12	22	25	29
48	9	11	18	24	37
49	38	15	41	28	43
50	14	11	37	12	25
51	8	22	18	19	37
